03-22-2019 15:24:41.563,-,AT,"Receiver,0013A20041579DF5,9XTend DigiMesh (version B),8003,COM14 - 9600/8/N/1/N,6"

03-22-2019 15:26:35.157,2440,SENT,2B2B2B
03-22-2019 15:26:35.210,2441,RECV,4F4B0D
03-22-2019 15:26:36.658,2442,SENT,415444420D
03-22-2019 15:26:36.718,2443,RECV,34360D
03-22-2019 15:26:38.159,2444,SENT,2B2B2B
03-22-2019 15:26:38.225,2445,RECV,4F4B0D
03-22-2019 15:26:39.660,2446,SENT,415444420D
03-22-2019 15:26:39.680,2447,RECV,34360D
03-22-2019 15:26:41.160,2448,SENT,2B2B2B
03-22-2019 15:26:41.190,2449,RECV,4F4B0D
03-22-2019 15:26:42.661,2450,SENT,415444420D
03-22-2019 15:26:42.699,2451,RECV,34360D
03-22-2019 15:26:44.162,2452,SENT,2B2B2B
03-22-2019 15:26:44.207,2453,RECV,4F4B0D
03-22-2019 15:26:45.663,2454,SENT,415444420D
03-22-2019 15:26:45.714,2455,RECV,34360D
03-22-2019 15:26:47.164,2456,SENT,2B2B2B
03-22-2019 15:26:47.173,2457,RECV,4F4B0D
03-22-2019 15:26:48.665,2458,SENT,415444420D
03-22-2019 15:26:48.678,2459,RECV,34360D
03-22-2019 15:26:50.166,2460,SENT,2B2B2B
03-22-2019 15:26:50.186,2461,RECV,4F
03-22-2019 15:26:50.236,2462,RECV,4B0D
03-22-2019 15:26:51.667,2463,SENT,415444420D
03-22-2019 15:26:51.692,2464,RECV,34360D
03-22-2019 15:26:53.168,2465,SENT,2B2B2B
03-22-2019 15:26:53.197,2466,RECV,4F4B0D
03-22-2019 15:26:54.669,2467,SENT,415444420D
03-22-2019 15:26:54.705,2468,RECV,34360D
03-22-2019 15:26:56.169,2469,SENT,2B2B2B
03-22-2019 15:26:56.211,2470,RECV,4F4B0D
03-22-2019 15:26:57.670,2471,SENT,415444420D
03-22-2019 15:26:57.720,2472,RECV,34360D
03-22-2019 15:26:59.171,2473,SENT,2B2B2B
03-22-2019 15:26:59.227,2474,RECV,4F4B0D
03-22-2019 15:27:00.671,2475,SENT,415444420D
03-22-2019 15:27:00.686,2476,RECV,34360D
03-22-2019 15:27:02.172,2477,SENT,2B2B2B
03-22-2019 15:27:02.193,2478,RECV,4F4B0D
03-22-2019 15:27:03.673,2479,SENT,415444420D
03-22-2019 15:27:03.700,2480,RECV,34360D
03-22-2019 15:27:05.173,2481,SENT,2B2B2B
03-22-2019 15:27:05.209,2482,RECV,4F4B0D
03-22-2019 15:27:06.674,2483,SENT,415444420D
03-22-2019 15:27:06.715,2484,RECV,34360D
03-22-2019 15:27:08.176,2485,SENT,2B2B2B
03-22-2019 15:27:08.224,2486,RECV,4F4B0D
03-22-2019 15:27:09.677,2487,SENT,415444420D
03-22-2019 15:27:09.731,2488,RECV,34360D
03-22-2019 15:27:11.178,2489,SENT,2B2B2B
03-22-2019 15:27:11.189,2490,RECV,4F4B0D
03-22-2019 15:27:12.678,2491,SENT,415444420D
03-22-2019 15:27:12.695,2492,RECV,34360D
03-22-2019 15:27:14.179,2493,SENT,2B2B2B
03-22-2019 15:27:14.201,2494,RECV,4F4B0D
03-22-2019 15:27:15.685,2495,SENT,415444420D
03-22-2019 15:27:15.708,2496,RECV,34360D
03-22-2019 15:27:17.185,2497,SENT,2B2B2B
03-22-2019 15:27:17.216,2498,RECV,4F4B0D
03-22-2019 15:27:18.686,2499,SENT,415444420D
03-22-2019 15:27:18.724,2500,RECV,34360D
03-22-2019 15:27:20.188,2501,SENT,2B2B2B
03-22-2019 15:27:20.234,2502,RECV,4F4B0D
03-22-2019 15:27:21.688,2503,SENT,415444420D
03-22-2019 15:27:21.743,2504,RECV,34430D
03-22-2019 15:27:23.189,2505,SENT,2B2B2B
03-22-2019 15:27:23.251,2506,RECV,4F4B0D
03-22-2019 15:27:24.691,2507,SENT,415444420D
03-22-2019 15:27:24.760,2508,RECV,34410D
03-22-2019 15:27:26.191,2509,SENT,2B2B2B
03-22-2019 15:27:26.224,2510,RECV,4F4B0D
03-22-2019 15:27:27.692,2511,SENT,415444420D
03-22-2019 15:27:27.731,2512,RECV,34420D
03-22-2019 15:27:29.193,2513,SENT,2B2B2B
03-22-2019 15:27:29.240,2514,RECV,4F4B0D
03-22-2019 15:27:30.694,2515,SENT,415444420D
03-22-2019 15:27:30.746,2516,RECV,34410D
03-22-2019 15:27:32.195,2517,SENT,2B2B2B
03-22-2019 15:27:32.203,2518,RECV,4F4B0D
03-22-2019 15:27:33.696,2519,SENT,415444420D
03-22-2019 15:27:33.710,2520,RECV,34430D
03-22-2019 15:27:35.197,2521,SENT,2B2B2B
