03-22-2019 17:16:39.995,-,AT,"Receiver,0013A20041579DF5,9XTend DigiMesh (version B),8003,COM14 - 9600/8/N/1/N,6"

03-22-2019 17:16:40.814,11419,SENT,415444420D
03-22-2019 17:16:40.847,11420,RECV,35310D
03-22-2019 17:16:42.315,11421,SENT,2B2B2B
03-22-2019 17:16:42.354,11422,RECV,4F4B0D
03-22-2019 17:16:43.816,11423,SENT,415444420D
03-22-2019 17:16:43.863,11424,RECV,35310D
03-22-2019 17:16:45.318,11425,SENT,2B2B2B
03-22-2019 17:16:45.323,11426,RECV,4F
03-22-2019 17:16:45.581,11427,RECV,4B0D
03-22-2019 17:16:46.819,11428,SENT,415444420D
03-22-2019 17:16:46.833,11429,RECV,35310D
03-22-2019 17:16:48.320,11430,SENT,2B2B2B
03-22-2019 17:16:48.342,11431,RECV,4F4B0D
03-22-2019 17:16:49.821,11432,SENT,415444420D
03-22-2019 17:16:49.846,11433,RECV,35310D
03-22-2019 17:16:51.321,11434,SENT,2B2B2B
03-22-2019 17:16:51.355,11435,RECV,4F4B0D
03-22-2019 17:16:52.823,11436,SENT,415444420D
03-22-2019 17:16:52.861,11437,RECV,35310D
03-22-2019 17:16:54.323,11438,SENT,2B2B2B
03-22-2019 17:16:54.373,11439,RECV,4F4B0D
03-22-2019 17:16:55.825,11440,SENT,415444420D
03-22-2019 17:16:55.831,11441,RECV,35
03-22-2019 17:16:56.050,11442,RECV,310D
03-22-2019 17:16:57.324,11443,SENT,2B2B2B
03-22-2019 17:16:57.342,11444,RECV,4F4B0D
03-22-2019 17:16:58.826,11445,SENT,415444420D
03-22-2019 17:16:58.852,11446,RECV,35310D
03-22-2019 17:17:00.327,11447,SENT,2B2B2B
03-22-2019 17:17:00.363,11448,RECV,4F4B0D
03-22-2019 17:17:01.828,11449,SENT,415444420D
03-22-2019 17:17:01.871,11450,RECV,35310D
03-22-2019 17:17:03.328,11451,SENT,2B2B2B
03-22-2019 17:17:03.380,11452,RECV,4F4B0D
03-22-2019 17:17:04.829,11453,SENT,415444420D
03-22-2019 17:17:04.840,11454,RECV,35310D
03-22-2019 17:17:06.330,11455,SENT,2B2B2B
03-22-2019 17:17:06.347,11456,RECV,4F4B0D
03-22-2019 17:17:07.831,11457,SENT,415444420D
03-22-2019 17:17:07.860,11458,RECV,35310D
03-22-2019 17:17:09.332,11459,SENT,2B2B2B
03-22-2019 17:17:09.367,11460,RECV,4F4B0D
03-22-2019 17:17:10.834,11461,SENT,415444420D
03-22-2019 17:17:10.876,11462,RECV,35310D
03-22-2019 17:17:12.334,11463,SENT,2B2B2B
03-22-2019 17:17:12.381,11464,RECV,4F4B0D
03-22-2019 17:17:13.835,11465,SENT,415444420D
03-22-2019 17:17:13.889,11466,RECV,35310D
03-22-2019 17:17:15.336,11467,SENT,2B2B2B
