03-22-2019 15:02:31.858,-,AT,"Receiver,0013A20041579DF5,9XTend DigiMesh (version B),8003,COM14 - 9600/8/N/1/N,6"

03-22-2019 15:07:13.513,854,SENT,2B2B2B
03-22-2019 15:07:13.548,855,RECV,4F4B0D
03-22-2019 15:07:15.015,856,SENT,415444420D
03-22-2019 15:07:15.054,857,RECV,34340D
03-22-2019 15:07:16.516,858,SENT,2B2B2B
03-22-2019 15:07:16.560,859,RECV,4F4B0D
03-22-2019 15:07:18.017,860,SENT,415444420D
03-22-2019 15:07:18.070,861,RECV,34340D
03-22-2019 15:07:19.519,862,SENT,2B2B2B
03-22-2019 15:07:19.525,863,RECV,4F4B0D
03-22-2019 15:07:21.020,864,SENT,415444420D
03-22-2019 15:07:21.033,865,RECV,34
03-22-2019 15:07:21.036,866,RECV,32
03-22-2019 15:07:21.083,867,RECV,0D
03-22-2019 15:07:22.521,868,SENT,2B2B2B
03-22-2019 15:07:22.590,869,RECV,4F4B0D
03-22-2019 15:07:24.022,870,SENT,415444420D
03-22-2019 15:07:24.096,871,RECV,34330D
03-22-2019 15:07:25.523,872,SENT,2B2B2B
03-22-2019 15:07:25.552,873,RECV,4F4B0D
03-22-2019 15:07:27.023,874,SENT,415444420D
03-22-2019 15:07:27.061,875,RECV,34330D
03-22-2019 15:07:28.524,876,SENT,2B2B2B
03-22-2019 15:07:28.569,877,RECV,4F4B0D
03-22-2019 15:07:30.025,878,SENT,415444420D
03-22-2019 15:07:30.075,879,RECV,34330D
03-22-2019 15:07:31.526,880,SENT,2B2B2B
03-22-2019 15:07:31.580,881,RECV,4F4B0D
03-22-2019 15:07:33.028,882,SENT,415444420D
03-22-2019 15:07:33.037,883,RECV,34
03-22-2019 15:07:33.212,884,RECV,330D
03-22-2019 15:07:34.529,885,SENT,2B2B2B
03-22-2019 15:07:34.544,886,RECV,4F
03-22-2019 15:07:34.711,887,RECV,4B0D
03-22-2019 15:07:36.030,888,SENT,415444420D
03-22-2019 15:07:36.050,889,RECV,3433
03-22-2019 15:07:36.101,890,RECV,0D
03-22-2019 15:07:37.530,891,SENT,2B2B2B
03-22-2019 15:07:37.557,892,RECV,4F4B0D
03-22-2019 15:07:39.032,893,SENT,415444420D
03-22-2019 15:07:39.061,894,RECV,34330D
03-22-2019 15:07:40.533,895,SENT,2B2B2B
03-22-2019 15:07:40.567,896,RECV,4F4B0D
03-22-2019 15:07:42.034,897,SENT,415444420D
03-22-2019 15:07:42.071,898,RECV,34330D
03-22-2019 15:07:43.535,899,SENT,2B2B2B
03-22-2019 15:07:43.580,900,RECV,4F4B0D
03-22-2019 15:07:45.036,901,SENT,415444420D
03-22-2019 15:07:45.090,902,RECV,34350D
03-22-2019 15:07:46.536,903,SENT,2B2B2B
03-22-2019 15:07:46.549,904,RECV,4F4B0D
03-22-2019 15:07:48.038,905,SENT,415444420D
03-22-2019 15:07:48.056,906,RECV,34350D
03-22-2019 15:07:49.539,907,SENT,2B2B2B
03-22-2019 15:07:49.563,908,RECV,4F4B0D
03-22-2019 15:07:51.039,909,SENT,415444420D
03-22-2019 15:07:51.070,910,RECV,34330D
03-22-2019 15:07:52.541,911,SENT,2B2B2B
03-22-2019 15:07:52.576,912,RECV,4F4B0D
03-22-2019 15:07:54.042,913,SENT,415444420D
03-22-2019 15:07:54.084,914,RECV,34330D
03-22-2019 15:07:55.544,915,SENT,2B2B2B
03-22-2019 15:07:55.589,916,RECV,4F4B0D
03-22-2019 15:07:57.045,917,SENT,415444420D
03-22-2019 15:07:57.097,918,RECV,34330D
03-22-2019 15:07:58.546,919,SENT,2B2B2B
03-22-2019 15:07:58.604,920,RECV,4F4B0D
03-22-2019 15:08:00.046,921,SENT,415444420D
03-22-2019 15:08:00.113,922,RECV,34330D
03-22-2019 15:08:01.548,923,SENT,2B2B2B
03-22-2019 15:08:01.618,924,RECV,4F4B0D
03-22-2019 15:08:03.048,925,SENT,415444420D
03-22-2019 15:08:03.076,926,RECV,34330D
03-22-2019 15:08:04.549,927,SENT,2B2B2B
03-22-2019 15:08:04.582,928,RECV,4F4B0D
03-22-2019 15:08:06.050,929,SENT,415444420D
03-22-2019 15:08:06.089,930,RECV,34330D
03-22-2019 15:08:07.551,931,SENT,2B2B2B
03-22-2019 15:08:07.596,932,RECV,4F4B0D
03-22-2019 15:08:09.052,933,SENT,415444420D
03-22-2019 15:08:09.102,934,RECV,34330D
03-22-2019 15:08:10.552,935,SENT,2B2B2B
03-22-2019 15:08:10.559,936,RECV,4F4B0D
03-22-2019 15:08:12.054,937,SENT,415444420D
03-22-2019 15:08:12.116,938,RECV,34340D
03-22-2019 15:08:13.554,939,SENT,2B2B2B
03-22-2019 15:08:13.571,940,RECV,4F4B0D
03-22-2019 15:08:15.055,941,SENT,415444420D
03-22-2019 15:08:15.075,942,RECV,34320D
03-22-2019 15:08:16.556,943,SENT,2B2B2B
03-22-2019 15:08:16.581,944,RECV,4F4B0D
03-22-2019 15:08:18.057,945,SENT,415444420D
03-22-2019 15:08:18.088,946,RECV,34320D
03-22-2019 15:08:19.559,947,SENT,2B2B2B
03-22-2019 15:08:19.593,948,RECV,4F4B0D
03-22-2019 15:08:21.060,949,SENT,415444420D
03-22-2019 15:08:21.100,950,RECV,34320D
03-22-2019 15:08:22.561,951,SENT,2B2B2B
03-22-2019 15:08:22.606,952,RECV,4F4B0D
03-22-2019 15:08:24.062,953,SENT,415444420D
03-22-2019 15:08:24.114,954,RECV,34320D
03-22-2019 15:08:25.562,955,SENT,2B2B2B
03-22-2019 15:08:25.573,956,RECV,4F4B0D
03-22-2019 15:08:27.064,957,SENT,415444420D
03-22-2019 15:08:27.078,958,RECV,34320D
03-22-2019 15:08:28.565,959,SENT,2B2B2B
03-22-2019 15:08:28.584,960,RECV,4F4B0D
03-22-2019 15:08:30.066,961,SENT,415444420D
03-22-2019 15:08:30.090,962,RECV,34320D
03-22-2019 15:08:31.568,963,SENT,2B2B2B
03-22-2019 15:08:31.599,964,RECV,4F4B0D
03-22-2019 15:08:33.069,965,SENT,415444420D
03-22-2019 15:08:33.108,966,RECV,34320D
03-22-2019 15:08:34.570,967,SENT,2B2B2B
03-22-2019 15:08:34.613,968,RECV,4F4B0D
03-22-2019 15:08:36.072,969,SENT,415444420D
03-22-2019 15:08:36.119,970,RECV,34320D
03-22-2019 15:08:37.572,971,SENT,2B2B2B
03-22-2019 15:08:37.577,972,RECV,4F
03-22-2019 15:08:37.628,973,RECV,4B0D
03-22-2019 15:08:39.074,974,SENT,415444420D
