03-25-2019 18:12:57.532,-,AT,"Receiver,0013A20041579DF5,9XTend DigiMesh (version B),8003,COM14 - 9600/8/N/1/N,6"

03-25-2019 18:12:58.184,4058,SENT,415444420D
03-25-2019 18:12:58.246,4059,RECV,34360D
03-25-2019 18:12:59.702,4060,SENT,2B2B2B
03-25-2019 18:12:59.765,4061,RECV,4F4B0D
03-25-2019 18:13:01.215,4062,SENT,415444420D
03-25-2019 18:13:01.277,4063,RECV,34360D
03-25-2019 18:13:02.721,4064,SENT,2B2B2B
03-25-2019 18:13:02.784,4065,RECV,4F4B0D
03-25-2019 18:13:04.228,4066,SENT,415444420D
03-25-2019 18:13:04.290,4067,RECV,34360D
03-25-2019 18:13:05.736,4068,SENT,2B2B2B
03-25-2019 18:13:05.799,4069,RECV,4F4B0D
03-25-2019 18:13:07.243,4070,SENT,415444420D
03-25-2019 18:13:07.305,4071,RECV,34360D
03-25-2019 18:13:08.746,4072,SENT,2B2B2B
03-25-2019 18:13:08.808,4073,RECV,4F4B0D
03-25-2019 18:13:10.250,4074,SENT,415444420D
03-25-2019 18:13:10.312,4075,RECV,34360D
03-25-2019 18:13:11.752,4076,SENT,2B2B2B
03-25-2019 18:13:11.821,4077,RECV,4F4B0D
03-25-2019 18:13:13.262,4078,SENT,415444420D
03-25-2019 18:13:13.308,4079,RECV,34360D
03-25-2019 18:13:14.776,4080,SENT,2B2B2B
03-25-2019 18:13:14.823,4081,RECV,4F4B0D
03-25-2019 18:13:16.284,4082,SENT,415444420D
03-25-2019 18:13:16.331,4083,RECV,34360D
03-25-2019 18:13:17.796,4084,SENT,2B2B2B
03-25-2019 18:13:17.843,4085,RECV,4F4B0D
03-25-2019 18:13:19.302,4086,SENT,415444420D
03-25-2019 18:13:19.349,4087,RECV,34360D
03-25-2019 18:13:20.809,4088,SENT,2B2B2B
03-25-2019 18:13:20.856,4089,RECV,4F4B0D
03-25-2019 18:13:22.315,4090,SENT,415444420D
03-25-2019 18:13:22.362,4091,RECV,34360D
03-25-2019 18:13:23.821,4092,SENT,2B2B2B
03-25-2019 18:13:23.868,4093,RECV,4F4B0D
03-25-2019 18:13:25.326,4094,SENT,415444420D
03-25-2019 18:13:25.388,4095,RECV,34360D
03-25-2019 18:13:26.830,4096,SENT,2B2B2B
03-25-2019 18:13:26.893,4097,RECV,4F4B0D
03-25-2019 18:13:28.333,4098,SENT,415444420D
03-25-2019 18:13:28.380,4099,RECV,34360D
03-25-2019 18:13:29.847,4100,SENT,2B2B2B
03-25-2019 18:13:29.894,4101,RECV,4F4B0D
03-25-2019 18:13:31.354,4102,SENT,415444420D
03-25-2019 18:13:31.401,4103,RECV,34360D
03-25-2019 18:13:32.869,4104,SENT,2B2B2B
03-25-2019 18:13:32.916,4105,RECV,4F4B0D
03-25-2019 18:13:34.384,4106,SENT,415444420D
03-25-2019 18:13:34.430,4107,RECV,34360D
03-25-2019 18:13:35.887,4108,SENT,2B2B2B
03-25-2019 18:13:35.950,4109,RECV,4F4B0D
03-25-2019 18:13:37.395,4110,SENT,415444420D
03-25-2019 18:13:37.457,4111,RECV,34360D
03-25-2019 18:13:38.910,4112,SENT,2B2B2B
03-25-2019 18:13:38.972,4113,RECV,4F4B0D
03-25-2019 18:13:40.417,4114,SENT,415444420D
03-25-2019 18:13:40.480,4115,RECV,34360D
03-25-2019 18:13:41.925,4116,SENT,2B2B2B
03-25-2019 18:13:41.956,4117,RECV,4F4B0D
03-25-2019 18:13:43.432,4118,SENT,415444420D
03-25-2019 18:13:43.448,4119,RECV,34360D
03-25-2019 18:13:44.948,4120,SENT,2B2B2B
03-25-2019 18:13:44.963,4121,RECV,4F4B0D
03-25-2019 18:13:46.462,4122,SENT,415444420D
03-25-2019 18:13:46.540,4123,RECV,34320D
03-25-2019 18:13:47.968,4124,SENT,2B2B2B
03-25-2019 18:13:48.046,4125,RECV,4F4B0D
03-25-2019 18:13:49.483,4126,SENT,415444420D
03-25-2019 18:13:49.561,4127,RECV,34310D
03-25-2019 18:13:51.002,4128,SENT,2B2B2B
03-25-2019 18:13:51.080,4129,RECV,4F4B0D
03-25-2019 18:13:52.511,4130,SENT,415444420D
03-25-2019 18:13:52.589,4131,RECV,34310D
03-25-2019 18:13:54.018,4132,SENT,2B2B2B
03-25-2019 18:13:54.033,4133,RECV,4F4B0D
03-25-2019 18:13:55.524,4134,SENT,415444420D
03-25-2019 18:13:55.540,4135,RECV,34300D
03-25-2019 18:13:57.038,4136,SENT,2B2B2B
03-25-2019 18:13:57.054,4137,RECV,4F4B0D
03-25-2019 18:13:58.548,4138,SENT,415444420D
03-25-2019 18:13:58.611,4139,RECV,34300D
03-25-2019 18:14:00.058,4140,SENT,2B2B2B
