03-25-2019 17:30:04.650,-,AT,"Receiver,0013A20041579DF5,9XTend DigiMesh (version B),8003,COM14 - 9600/8/N/1/N,6"

03-25-2019 17:30:05.620,636,SENT,2B2B2B
03-25-2019 17:30:05.651,637,RECV,4F4B0D
03-25-2019 17:30:07.122,638,SENT,415444420D
03-25-2019 17:30:07.169,639,RECV,34320D
03-25-2019 17:30:08.630,640,SENT,2B2B2B
03-25-2019 17:30:08.677,641,RECV,4F4B0D
03-25-2019 17:30:10.139,642,SENT,415444420D
03-25-2019 17:30:10.186,643,RECV,34320D
03-25-2019 17:30:11.640,644,SENT,2B2B2B
03-25-2019 17:30:11.687,645,RECV,4F4B0D
03-25-2019 17:30:13.155,646,SENT,415444420D
03-25-2019 17:30:13.202,647,RECV,34320D
03-25-2019 17:30:14.662,648,SENT,2B2B2B
03-25-2019 17:30:14.693,649,RECV,4F4B0D
03-25-2019 17:30:16.167,650,SENT,415444420D
03-25-2019 17:30:16.198,651,RECV,34320D
03-25-2019 17:30:17.668,652,SENT,2B2B2B
03-25-2019 17:30:17.699,653,RECV,4F4B0D
03-25-2019 17:30:19.177,654,SENT,415444420D
03-25-2019 17:30:19.208,655,RECV,34320D
03-25-2019 17:30:20.687,656,SENT,2B2B2B
03-25-2019 17:30:20.718,657,RECV,4F4B0D
03-25-2019 17:30:22.193,658,SENT,415444420D
03-25-2019 17:30:22.224,659,RECV,34320D
03-25-2019 17:30:23.700,660,SENT,2B2B2B
03-25-2019 17:30:23.732,661,RECV,4F4B0D
03-25-2019 17:30:25.215,662,SENT,415444420D
03-25-2019 17:30:25.230,663,RECV,34320D
03-25-2019 17:30:26.730,664,SENT,2B2B2B
03-25-2019 17:30:26.746,665,RECV,4F4B0D
03-25-2019 17:30:28.236,666,SENT,415444420D
03-25-2019 17:30:28.267,667,RECV,34320D
03-25-2019 17:30:29.746,668,SENT,2B2B2B
03-25-2019 17:30:29.778,669,RECV,4F4B0D
03-25-2019 17:30:31.253,670,SENT,415444420D
03-25-2019 17:30:31.284,671,RECV,34320D
03-25-2019 17:30:32.772,672,SENT,2B2B2B
03-25-2019 17:30:32.803,673,RECV,4F4B0D
03-25-2019 17:30:34.287,674,SENT,415444420D
03-25-2019 17:30:34.318,675,RECV,34320D
03-25-2019 17:30:35.795,676,SENT,2B2B2B
03-25-2019 17:30:35.826,677,RECV,4F4B0D
03-25-2019 17:30:37.314,678,SENT,415444420D
03-25-2019 17:30:37.345,679,RECV,34320D
03-25-2019 17:30:38.821,680,SENT,2B2B2B
03-25-2019 17:30:38.852,681,RECV,4F4B0D
03-25-2019 17:30:40.335,682,SENT,415444420D
03-25-2019 17:30:40.350,683,RECV,34320D
03-25-2019 17:30:41.851,684,SENT,2B2B2B
03-25-2019 17:30:41.867,685,RECV,4F4B0D
03-25-2019 17:30:43.360,686,SENT,415444420D
03-25-2019 17:30:43.422,687,RECV,34320D
03-25-2019 17:30:44.872,688,SENT,2B2B2B
03-25-2019 17:30:44.934,689,RECV,4F4B0D
03-25-2019 17:30:46.377,690,SENT,415444420D
03-25-2019 17:30:46.408,691,RECV,34320D
03-25-2019 17:30:47.886,692,SENT,2B2B2B
03-25-2019 17:30:47.917,693,RECV,4F4B0D
03-25-2019 17:30:49.402,694,SENT,415444420D
03-25-2019 17:30:49.434,695,RECV,34320D
03-25-2019 17:30:50.918,696,SENT,2B2B2B
03-25-2019 17:30:50.949,697,RECV,4F4B0D
03-25-2019 17:30:52.422,698,SENT,415444420D
03-25-2019 17:30:52.453,699,RECV,34320D
03-25-2019 17:30:53.924,700,SENT,2B2B2B
03-25-2019 17:30:53.955,701,RECV,4F4B0D
03-25-2019 17:30:55.426,702,SENT,415444420D
03-25-2019 17:30:55.463,703,RECV,34320D
03-25-2019 17:30:56.934,704,SENT,2B2B2B
03-25-2019 17:30:56.971,705,RECV,4F4B0D
03-25-2019 17:30:58.446,706,SENT,415444420D
03-25-2019 17:30:58.509,707,RECV,34320D
03-25-2019 17:30:59.966,708,SENT,2B2B2B
03-25-2019 17:30:59.981,709,RECV,4F4B0D
03-25-2019 17:31:01.473,710,SENT,415444420D
03-25-2019 17:31:01.489,711,RECV,34320D
03-25-2019 17:31:02.984,712,SENT,2B2B2B
03-25-2019 17:31:02.999,713,RECV,4F4B0D
03-25-2019 17:31:04.502,714,SENT,415444420D
03-25-2019 17:31:04.580,715,RECV,34330D
03-25-2019 17:31:06.013,716,SENT,2B2B2B
03-25-2019 17:31:06.029,717,RECV,4F4B0D
03-25-2019 17:31:07.521,718,SENT,415444420D
03-25-2019 17:31:07.599,719,RECV,34330D
