03-22-2019 18:16:37.836,-,AT,"Receiver,0013A20041579DF5,9XTend DigiMesh (version B),8003,COM14 - 9600/8/N/1/N,6"

03-22-2019 18:16:38.503,16318,SENT,2B2B2B
03-22-2019 18:16:38.539,16319,RECV,4F4B0D
03-22-2019 18:16:40.003,16320,SENT,415444420D
03-22-2019 18:16:40.048,16321,RECV,34310D
03-22-2019 18:16:41.504,16322,SENT,2B2B2B
03-22-2019 18:16:41.557,16323,RECV,4F4B0D
03-22-2019 18:16:43.005,16324,SENT,415444420D
03-22-2019 18:16:43.016,16325,RECV,34310D
03-22-2019 18:16:44.506,16326,SENT,2B2B2B
03-22-2019 18:16:44.524,16327,RECV,4F4B0D
03-22-2019 18:16:46.008,16328,SENT,415444420D
03-22-2019 18:16:46.033,16329,RECV,34310D
03-22-2019 18:16:47.508,16330,SENT,2B2B2B
03-22-2019 18:16:47.542,16331,RECV,4F4B0D
03-22-2019 18:16:49.009,16332,SENT,415444420D
03-22-2019 18:16:49.050,16333,RECV,34310D
03-22-2019 18:16:50.511,16334,SENT,2B2B2B
03-22-2019 18:16:50.559,16335,RECV,4F4B0D
03-22-2019 18:16:52.012,16336,SENT,415444420D
03-22-2019 18:16:52.067,16337,RECV,34310D
03-22-2019 18:16:53.513,16338,SENT,2B2B2B
03-22-2019 18:16:53.526,16339,RECV,4F4B0D
03-22-2019 18:16:55.014,16340,SENT,415444420D
03-22-2019 18:16:55.033,16341,RECV,34310D
03-22-2019 18:16:56.515,16342,SENT,2B2B2B
03-22-2019 18:16:56.541,16343,RECV,4F4B0D
03-22-2019 18:16:58.016,16344,SENT,415444420D
03-22-2019 18:16:58.049,16345,RECV,34310D
03-22-2019 18:16:59.517,16346,SENT,2B2B2B
03-22-2019 18:16:59.558,16347,RECV,4F4B0D
03-22-2019 18:17:01.018,16348,SENT,415444420D
03-22-2019 18:17:01.069,16349,RECV,34310D
03-22-2019 18:17:02.519,16350,SENT,2B2B2B
03-22-2019 18:17:02.529,16351,RECV,4F4B0D
03-22-2019 18:17:04.019,16352,SENT,415444420D
03-22-2019 18:17:04.035,16353,RECV,34310D
03-22-2019 18:17:05.522,16354,SENT,2B2B2B
03-22-2019 18:17:05.544,16355,RECV,4F4B0D
03-22-2019 18:17:07.021,16356,SENT,415444420D
03-22-2019 18:17:07.051,16357,RECV,34310D
03-22-2019 18:17:08.522,16358,SENT,2B2B2B
03-22-2019 18:17:08.559,16359,RECV,4F4B0D
03-22-2019 18:17:10.024,16360,SENT,415444420D
03-22-2019 18:17:10.066,16361,RECV,34310D
03-22-2019 18:17:11.525,16362,SENT,2B2B2B
03-22-2019 18:17:11.575,16363,RECV,4F4B0D
03-22-2019 18:17:13.026,16364,SENT,415444420D
03-22-2019 18:17:13.033,16365,RECV,3431
03-22-2019 18:17:13.084,16366,RECV,0D
03-22-2019 18:17:14.531,16367,SENT,2B2B2B
03-22-2019 18:17:14.542,16368,RECV,4F4B0D
03-22-2019 18:17:16.032,16369,SENT,415444420D
03-22-2019 18:17:16.053,16370,RECV,34310D
03-22-2019 18:17:17.532,16371,SENT,2B2B2B
03-22-2019 18:17:17.561,16372,RECV,4F4B0D
03-22-2019 18:17:19.033,16373,SENT,415444420D
03-22-2019 18:17:19.068,16374,RECV,34310D
03-22-2019 18:17:20.535,16375,SENT,2B2B2B
03-22-2019 18:17:20.577,16376,RECV,4F4B0D
03-22-2019 18:17:22.034,16377,SENT,415444420D
03-22-2019 18:17:22.083,16378,RECV,34310D
03-22-2019 18:17:23.534,16379,SENT,2B2B2B
03-22-2019 18:17:23.542,16380,RECV,4F4B0D
03-22-2019 18:17:25.037,16381,SENT,415444420D
03-22-2019 18:17:25.051,16382,RECV,34310D
03-22-2019 18:17:26.539,16383,SENT,2B2B2B
03-22-2019 18:17:26.561,16384,RECV,4F4B0D
03-22-2019 18:17:28.039,16385,SENT,415444420D
03-22-2019 18:17:28.069,16386,RECV,34310D
03-22-2019 18:17:29.540,16387,SENT,2B2B2B
03-22-2019 18:17:29.579,16388,RECV,4F4B0D
03-22-2019 18:17:31.041,16389,SENT,415444420D
03-22-2019 18:17:31.084,16390,RECV,34310D
03-22-2019 18:17:32.541,16391,SENT,2B2B2B
03-22-2019 18:17:32.594,16392,RECV,4F4B0D
03-22-2019 18:17:34.043,16393,SENT,415444420D
03-22-2019 18:17:34.051,16394,RECV,3431
03-22-2019 18:17:34.102,16395,RECV,0D
03-22-2019 18:17:35.544,16396,SENT,2B2B2B
03-22-2019 18:17:35.561,16397,RECV,4F4B0D
03-22-2019 18:17:37.044,16398,SENT,415444420D
03-22-2019 18:17:37.071,16399,RECV,34310D
03-22-2019 18:17:38.545,16400,SENT,2B2B2B
03-22-2019 18:17:38.580,16401,RECV,4F4B0D
03-22-2019 18:17:40.046,16402,SENT,415444420D
03-22-2019 18:17:40.090,16403,RECV,34310D
03-22-2019 18:17:41.547,16404,SENT,2B2B2B
03-22-2019 18:17:41.598,16405,RECV,4F4B0D
03-22-2019 18:17:43.048,16406,SENT,415444420D
03-22-2019 18:17:43.104,16407,RECV,34310D
03-22-2019 18:17:44.548,16408,SENT,2B2B2B
03-22-2019 18:17:44.564,16409,RECV,4F4B0D
03-22-2019 18:17:46.049,16410,SENT,415444420D
03-22-2019 18:17:46.073,16411,RECV,34310D
03-22-2019 18:17:47.549,16412,SENT,2B2B2B
03-22-2019 18:17:47.584,16413,RECV,4F4B0D
03-22-2019 18:17:49.051,16414,SENT,415444420D
03-22-2019 18:17:49.094,16415,RECV,34310D
03-22-2019 18:17:50.552,16416,SENT,2B2B2B
03-22-2019 18:17:50.599,16417,RECV,4F4B0D
03-22-2019 18:17:52.052,16418,SENT,415444420D
03-22-2019 18:17:52.109,16419,RECV,34310D
03-22-2019 18:17:53.554,16420,SENT,2B2B2B
03-22-2019 18:17:53.567,16421,RECV,4F4B0D
03-22-2019 18:17:55.055,16422,SENT,415444420D
03-22-2019 18:17:55.074,16423,RECV,34310D
03-22-2019 18:17:56.555,16424,SENT,2B2B2B
03-22-2019 18:17:56.581,16425,RECV,4F4B0D
03-22-2019 18:17:58.057,16426,SENT,415444420D
03-22-2019 18:17:58.092,16427,RECV,34310D
03-22-2019 18:17:59.559,16428,SENT,2B2B2B
03-22-2019 18:17:59.601,16429,RECV,4F4B0D
03-22-2019 18:18:01.059,16430,SENT,415444420D
03-22-2019 18:18:01.112,16431,RECV,34310D
03-22-2019 18:18:02.561,16432,SENT,2B2B2B
03-22-2019 18:18:02.567,16433,RECV,4F4B0D
03-22-2019 18:18:04.061,16434,SENT,415444420D
03-22-2019 18:18:04.077,16435,RECV,34310D
03-22-2019 18:18:05.563,16436,SENT,2B2B2B
03-22-2019 18:18:05.582,16437,RECV,4F4B0D
03-22-2019 18:18:07.064,16438,SENT,415444420D
03-22-2019 18:18:07.142,16439,RECV,34410D
03-22-2019 18:18:08.565,16440,SENT,2B2B2B
03-22-2019 18:18:08.599,16441,RECV,4F4B0D
03-22-2019 18:18:10.065,16442,SENT,415444420D
03-22-2019 18:18:10.111,16443,RECV,34390D
03-22-2019 18:18:11.567,16444,SENT,2B2B2B
03-22-2019 18:18:11.619,16445,RECV,4F4B0D
03-22-2019 18:18:13.067,16446,SENT,415444420D
03-22-2019 18:18:13.077,16447,RECV,34380D
03-22-2019 18:18:14.568,16448,SENT,2B2B2B
03-22-2019 18:18:14.585,16449,RECV,4F4B0D
03-22-2019 18:18:16.069,16450,SENT,415444420D
03-22-2019 18:18:16.094,16451,RECV,34390D
03-22-2019 18:18:17.569,16452,SENT,2B2B2B
03-22-2019 18:18:17.604,16453,RECV,4F4B0D
03-22-2019 18:18:19.071,16454,SENT,415444420D
03-22-2019 18:18:19.163,16455,RECV,34410D
03-22-2019 18:18:20.572,16456,SENT,2B2B2B
03-22-2019 18:18:20.622,16457,RECV,4F4B0D
03-22-2019 18:18:22.074,16458,SENT,415444420D
03-22-2019 18:18:22.080,16459,RECV,34
03-22-2019 18:18:22.130,16460,RECV,410D
03-22-2019 18:18:23.575,16461,SENT,2B2B2B
03-22-2019 18:18:23.639,16462,RECV,4F4B0D
03-22-2019 18:18:25.076,16463,SENT,415444420D
03-22-2019 18:18:25.098,16464,RECV,34390D
03-22-2019 18:18:26.577,16465,SENT,2B2B2B
03-22-2019 18:18:26.603,16466,RECV,4F4B0D
03-22-2019 18:18:28.078,16467,SENT,415444420D
03-22-2019 18:18:28.112,16468,RECV,34390D
03-22-2019 18:18:29.579,16469,SENT,2B2B2B
03-22-2019 18:18:29.622,16470,RECV,4F4B0D
03-22-2019 18:18:31.078,16471,SENT,415444420D
03-22-2019 18:18:31.129,16472,RECV,34390D
03-22-2019 18:18:32.580,16473,SENT,2B2B2B
03-22-2019 18:18:32.590,16474,RECV,4F4B0D
03-22-2019 18:18:34.081,16475,SENT,415444420D
03-22-2019 18:18:34.096,16476,RECV,34390D
03-22-2019 18:18:35.581,16477,SENT,2B2B2B
03-22-2019 18:18:35.606,16478,RECV,4F4B0D
03-22-2019 18:18:37.081,16479,SENT,415444420D
03-22-2019 18:18:37.114,16480,RECV,34390D
03-22-2019 18:18:38.582,16481,SENT,2B2B2B
03-22-2019 18:18:38.625,16482,RECV,4F4B0D
03-22-2019 18:18:40.083,16483,SENT,415444420D
03-22-2019 18:18:40.129,16484,RECV,34390D
03-22-2019 18:18:41.584,16485,SENT,2B2B2B
03-22-2019 18:18:41.639,16486,RECV,4F4B0D
03-22-2019 18:18:43.084,16487,SENT,415444420D
03-22-2019 18:18:43.098,16488,RECV,34390D
03-22-2019 18:18:44.585,16489,SENT,2B2B2B
03-22-2019 18:18:44.609,16490,RECV,4F4B0D
03-22-2019 18:18:46.087,16491,SENT,415444420D
03-22-2019 18:18:46.117,16492,RECV,34380D
03-22-2019 18:18:47.587,16493,SENT,2B2B2B
03-22-2019 18:18:47.676,16494,RECV,4F4B0D
03-22-2019 18:18:49.087,16495,SENT,415444420D
03-22-2019 18:18:49.133,16496,RECV,34390D
03-22-2019 18:18:50.588,16497,SENT,2B2B2B
03-22-2019 18:18:50.641,16498,RECV,4F4B0D
03-22-2019 18:18:52.089,16499,SENT,415444420D
03-22-2019 18:18:52.099,16500,RECV,34380D
03-22-2019 18:18:53.590,16501,SENT,2B2B2B
03-22-2019 18:18:53.656,16502,RECV,4F4B0D
03-22-2019 18:18:55.091,16503,SENT,415444420D
03-22-2019 18:18:55.115,16504,RECV,34410D
03-22-2019 18:18:56.591,16505,SENT,2B2B2B
03-22-2019 18:18:56.626,16506,RECV,4F4B0D
03-22-2019 18:18:58.092,16507,SENT,415444420D
03-22-2019 18:18:58.183,16508,RECV,34410D
03-22-2019 18:18:59.593,16509,SENT,2B2B2B
03-22-2019 18:18:59.643,16510,RECV,4F4B0D
03-22-2019 18:19:01.095,16511,SENT,415444420D
03-22-2019 18:19:01.151,16512,RECV,34390D
03-22-2019 18:19:02.596,16513,SENT,2B2B2B
03-22-2019 18:19:02.660,16514,RECV,4F4B0D
03-22-2019 18:19:04.098,16515,SENT,415444420D
03-22-2019 18:19:04.116,16516,RECV,34380D
03-22-2019 18:19:05.599,16517,SENT,2B2B2B
03-22-2019 18:19:05.676,16518,RECV,4F4B0D
03-22-2019 18:19:07.099,16519,SENT,415444420D
03-22-2019 18:19:07.134,16520,RECV,34390D
03-22-2019 18:19:08.600,16521,SENT,2B2B2B
03-22-2019 18:19:08.642,16522,RECV,4F4B0D
03-22-2019 18:19:10.101,16523,SENT,415444420D
03-22-2019 18:19:10.151,16524,RECV,34380D
03-22-2019 18:19:11.603,16525,SENT,2B2B2B
03-22-2019 18:19:11.610,16526,RECV,4F4B0D
03-22-2019 18:19:13.104,16527,SENT,415444420D
03-22-2019 18:19:13.118,16528,RECV,34380D
03-22-2019 18:19:14.606,16529,SENT,2B2B2B
03-22-2019 18:19:14.626,16530,RECV,4F4B0D
03-22-2019 18:19:16.106,16531,SENT,415444420D
03-22-2019 18:19:16.133,16532,RECV,34380D
03-22-2019 18:19:17.606,16533,SENT,2B2B2B
03-22-2019 18:19:17.642,16534,RECV,4F4B0D
03-22-2019 18:19:19.108,16535,SENT,415444420D
03-22-2019 18:19:19.148,16536,RECV,34380D
03-22-2019 18:19:20.610,16537,SENT,2B2B2B
03-22-2019 18:19:20.658,16538,RECV,4F4B0D
03-22-2019 18:19:22.110,16539,SENT,415444420D
03-22-2019 18:19:22.166,16540,RECV,34380D
03-22-2019 18:19:23.611,16541,SENT,2B2B2B
03-22-2019 18:19:23.625,16542,RECV,4F4B0D
03-22-2019 18:19:25.112,16543,SENT,415444420D
03-22-2019 18:19:25.132,16544,RECV,34380D
03-22-2019 18:19:26.612,16545,SENT,2B2B2B
03-22-2019 18:19:26.642,16546,RECV,4F4B0D
03-22-2019 18:19:28.113,16547,SENT,415444420D
03-22-2019 18:19:28.151,16548,RECV,34380D
03-22-2019 18:19:29.613,16549,SENT,2B2B2B
03-22-2019 18:19:29.659,16550,RECV,4F4B0D
03-22-2019 18:19:31.115,16551,SENT,415444420D
03-22-2019 18:19:31.166,16552,RECV,34380D
03-22-2019 18:19:32.615,16553,SENT,2B2B2B
03-22-2019 18:19:32.627,16554,RECV,4F4B0D
03-22-2019 18:19:34.116,16555,SENT,415444420D
03-22-2019 18:19:34.135,16556,RECV,34380D
03-22-2019 18:19:35.617,16557,SENT,2B2B2B
03-22-2019 18:19:35.645,16558,RECV,4F4B0D
03-22-2019 18:19:37.119,16559,SENT,415444420D
03-22-2019 18:19:37.151,16560,RECV,34380D
03-22-2019 18:19:38.621,16561,SENT,2B2B2B
03-22-2019 18:19:38.660,16562,RECV,4F4B0D
03-22-2019 18:19:40.121,16563,SENT,415444420D
03-22-2019 18:19:40.166,16564,RECV,34380D
03-22-2019 18:19:41.622,16565,SENT,2B2B2B
03-22-2019 18:19:41.626,16566,RECV,4F
03-22-2019 18:19:41.676,16567,RECV,4B0D
03-22-2019 18:19:43.123,16568,SENT,415444420D
03-22-2019 18:19:43.130,16569,RECV,34
03-22-2019 18:19:43.180,16570,RECV,380D
03-22-2019 18:19:44.625,16571,SENT,2B2B2B
03-22-2019 18:19:44.640,16572,RECV,4F4B0D
03-22-2019 18:19:46.125,16573,SENT,415444420D
03-22-2019 18:19:46.146,16574,RECV,34380D
03-22-2019 18:19:47.625,16575,SENT,2B2B2B
03-22-2019 18:19:47.654,16576,RECV,4F4B0D
03-22-2019 18:19:49.126,16577,SENT,415444420D
03-22-2019 18:19:49.161,16578,RECV,34380D
03-22-2019 18:19:50.628,16579,SENT,2B2B2B
03-22-2019 18:19:50.667,16580,RECV,4F4B0D
03-22-2019 18:19:52.128,16581,SENT,415444420D
03-22-2019 18:19:52.173,16582,RECV,3438
03-22-2019 18:19:52.313,16583,RECV,0D
03-22-2019 18:19:53.629,16584,SENT,2B2B2B
03-22-2019 18:19:53.678,16585,RECV,4F4B0D
03-22-2019 18:19:55.131,16586,SENT,415444420D
03-22-2019 18:19:55.186,16587,RECV,34370D
03-22-2019 18:19:56.632,16588,SENT,2B2B2B
03-22-2019 18:19:56.645,16589,RECV,4F4B0D
03-22-2019 18:19:58.133,16590,SENT,415444420D
03-22-2019 18:19:58.155,16591,RECV,34370D
03-22-2019 18:19:59.634,16592,SENT,2B2B2B
03-22-2019 18:19:59.663,16593,RECV,4F4B0D
03-22-2019 18:20:01.136,16594,SENT,415444420D
03-22-2019 18:20:01.223,16595,RECV,34370D
03-22-2019 18:20:02.638,16596,SENT,2B2B2B
03-22-2019 18:20:02.679,16597,RECV,4F4B0D
03-22-2019 18:20:04.138,16598,SENT,415444420D
03-22-2019 18:20:04.190,16599,RECV,34370D
03-22-2019 18:20:05.639,16600,SENT,2B2B2B
03-22-2019 18:20:05.698,16601,RECV,4F4B0D
03-22-2019 18:20:07.140,16602,SENT,415444420D
03-22-2019 18:20:07.207,16603,RECV,34370D
03-22-2019 18:20:08.641,16604,SENT,2B2B2B
03-22-2019 18:20:08.717,16605,RECV,4F4B0D
03-22-2019 18:20:10.142,16606,SENT,415444420D
03-22-2019 18:20:10.174,16607,RECV,34370D
03-22-2019 18:20:11.643,16608,SENT,2B2B2B
03-22-2019 18:20:11.682,16609,RECV,4F4B0D
03-22-2019 18:20:13.144,16610,SENT,415444420D
03-22-2019 18:20:13.191,16611,RECV,34380D
03-22-2019 18:20:14.646,16612,SENT,2B2B2B
03-22-2019 18:20:14.697,16613,RECV,4F4B0D
03-22-2019 18:20:16.146,16614,SENT,415444420D
03-22-2019 18:20:16.154,16615,RECV,3437
03-22-2019 18:20:16.204,16616,RECV,0D
03-22-2019 18:20:17.646,16617,SENT,2B2B2B
03-22-2019 18:20:17.663,16618,RECV,4F4B0D
03-22-2019 18:20:19.147,16619,SENT,415444420D
03-22-2019 18:20:19.173,16620,RECV,34370D
03-22-2019 18:20:20.649,16621,SENT,2B2B2B
03-22-2019 18:20:20.732,16622,RECV,4F4B0D
03-22-2019 18:20:22.149,16623,SENT,415444420D
03-22-2019 18:20:22.191,16624,RECV,34370D
03-22-2019 18:20:23.650,16625,SENT,2B2B2B
03-22-2019 18:20:23.698,16626,RECV,4F4B0D
03-22-2019 18:20:25.151,16627,SENT,415444420D
03-22-2019 18:20:25.207,16628,RECV,34370D
03-22-2019 18:20:26.653,16629,SENT,2B2B2B
03-22-2019 18:20:26.714,16630,RECV,4F4B0D
03-22-2019 18:20:28.154,16631,SENT,415444420D
03-22-2019 18:20:28.174,16632,RECV,34370D
03-22-2019 18:20:29.655,16633,SENT,2B2B2B
03-22-2019 18:20:29.679,16634,RECV,4F4B0D
03-22-2019 18:20:31.156,16635,SENT,415444420D
03-22-2019 18:20:31.190,16636,RECV,34370D
03-22-2019 18:20:32.657,16637,SENT,2B2B2B
03-22-2019 18:20:32.698,16638,RECV,4F4B0D
03-22-2019 18:20:34.158,16639,SENT,415444420D
03-22-2019 18:20:34.206,16640,RECV,34370D
03-22-2019 18:20:35.659,16641,SENT,2B2B2B
03-22-2019 18:20:35.713,16642,RECV,4F4B0D
03-22-2019 18:20:37.159,16643,SENT,415444420D
03-22-2019 18:20:37.220,16644,RECV,3437
03-22-2019 18:20:37.381,16645,RECV,0D
03-22-2019 18:20:38.661,16646,SENT,2B2B2B
03-22-2019 18:20:38.679,16647,RECV,4F4B0D
03-22-2019 18:20:40.162,16648,SENT,415444420D
03-22-2019 18:20:40.188,16649,RECV,34370D
03-22-2019 18:20:41.663,16650,SENT,2B2B2B
03-22-2019 18:20:41.697,16651,RECV,4F4B0D
03-22-2019 18:20:43.163,16652,SENT,415444420D
03-22-2019 18:20:43.206,16653,RECV,34370D
03-22-2019 18:20:44.664,16654,SENT,2B2B2B
03-22-2019 18:20:44.714,16655,RECV,4F4B0D
03-22-2019 18:20:46.165,16656,SENT,415444420D
03-22-2019 18:20:46.173,16657,RECV,3438
03-22-2019 18:20:46.224,16658,RECV,0D
03-22-2019 18:20:47.665,16659,SENT,2B2B2B
03-22-2019 18:20:47.683,16660,RECV,4F4B0D
03-22-2019 18:20:49.166,16661,SENT,415444420D
03-22-2019 18:20:49.193,16662,RECV,34380D
03-22-2019 18:20:50.667,16663,SENT,2B2B2B
03-22-2019 18:20:50.704,16664,RECV,4F4B0D
03-22-2019 18:20:52.168,16665,SENT,415444420D
03-22-2019 18:20:52.209,16666,RECV,34380D
03-22-2019 18:20:53.670,16667,SENT,2B2B2B
03-22-2019 18:20:53.721,16668,RECV,4F4B0D
03-22-2019 18:20:55.171,16669,SENT,415444420D
03-22-2019 18:20:55.227,16670,RECV,34380D
03-22-2019 18:20:56.672,16671,SENT,2B2B2B
03-22-2019 18:20:56.687,16672,RECV,4F4B0D
03-22-2019 18:20:58.173,16673,SENT,415444420D
