03-22-2019 15:53:35.164,-,AT,"Receiver,0013A20041579DF5,9XTend DigiMesh (version B),8003,COM14 - 9600/8/N/1/N,6"
03-22-2019 15:53:36.220,4626,SENT,2B2B2B
03-22-2019 15:53:36.246,4627,RECV,4F4B0D
03-22-2019 15:53:37.722,4628,SENT,415444420D
03-22-2019 15:53:37.754,4629,RECV,35360D
03-22-2019 15:53:39.221,4630,SENT,2B2B2B
03-22-2019 15:53:39.263,4631,RECV,4F4B0D
03-22-2019 15:53:40.723,4632,SENT,415444420D
03-22-2019 15:53:40.771,4633,RECV,35360D
03-22-2019 15:53:42.223,4634,SENT,2B2B2B
03-22-2019 15:53:42.277,4635,RECV,4F4B0D
03-22-2019 15:53:43.726,4636,SENT,415444420D
03-22-2019 15:53:43.736,4637,RECV,35360D
03-22-2019 15:53:45.226,4638,SENT,2B2B2B
03-22-2019 15:53:45.248,4639,RECV,4F4B0D
03-22-2019 15:53:46.729,4640,SENT,415444420D
03-22-2019 15:53:46.762,4641,RECV,35360D
03-22-2019 15:53:48.227,4642,SENT,2B2B2B
03-22-2019 15:53:48.269,4643,RECV,4F4B0D
03-22-2019 15:53:49.728,4644,SENT,415444420D
03-22-2019 15:53:49.779,4645,RECV,35360D
03-22-2019 15:53:51.228,4646,SENT,2B2B2B
03-22-2019 15:53:51.238,4647,RECV,4F4B0D
03-22-2019 15:53:52.729,4648,SENT,415444420D
03-22-2019 15:53:52.746,4649,RECV,35360D
03-22-2019 15:53:54.230,4650,SENT,2B2B2B
03-22-2019 15:53:54.255,4651,RECV,4F4B0D
03-22-2019 15:53:55.730,4652,SENT,415444420D
03-22-2019 15:53:55.763,4653,RECV,35360D
03-22-2019 15:53:57.231,4654,SENT,2B2B2B
03-22-2019 15:53:57.272,4655,RECV,4F4B0D
03-22-2019 15:53:58.732,4656,SENT,415444420D
03-22-2019 15:53:58.783,4657,RECV,35360D
03-22-2019 15:54:00.233,4658,SENT,2B2B2B
03-22-2019 15:54:00.241,4659,RECV,4F4B0D
03-22-2019 15:54:01.734,4660,SENT,415444420D
03-22-2019 15:54:01.750,4661,RECV,35360D
03-22-2019 15:54:03.234,4662,SENT,2B2B2B
03-22-2019 15:54:03.258,4663,RECV,4F4B0D
03-22-2019 15:54:04.735,4664,SENT,415444420D
03-22-2019 15:54:04.765,4665,RECV,35360D
03-22-2019 15:54:06.235,4666,SENT,2B2B2B
03-22-2019 15:54:06.273,4667,RECV,4F4B0D
03-22-2019 15:54:07.736,4668,SENT,415444420D
03-22-2019 15:54:07.782,4669,RECV,35360D
03-22-2019 15:54:09.236,4670,SENT,2B2B2B
03-22-2019 15:54:09.241,4671,RECV,4F
03-22-2019 15:54:09.292,4672,RECV,4B0D
03-22-2019 15:54:10.737,4673,SENT,415444420D
03-22-2019 15:54:10.752,4674,RECV,35360D
03-22-2019 15:54:12.239,4675,SENT,2B2B2B
03-22-2019 15:54:12.257,4676,RECV,4F4B0D
03-22-2019 15:54:13.741,4677,SENT,415444420D
03-22-2019 15:54:13.769,4678,RECV,35360D
03-22-2019 15:54:15.240,4679,SENT,2B2B2B
03-22-2019 15:54:15.279,4680,RECV,4F4B0D
03-22-2019 15:54:16.742,4681,SENT,415444420D
03-22-2019 15:54:16.785,4682,RECV,35360D
03-22-2019 15:54:18.242,4683,SENT,2B2B2B
03-22-2019 15:54:18.297,4684,RECV,4F4B0D
03-22-2019 15:54:19.743,4685,SENT,415444420D
03-22-2019 15:54:19.755,4686,RECV,35360D
03-22-2019 15:54:21.243,4687,SENT,2B2B2B
03-22-2019 15:54:21.264,4688,RECV,4F4B0D
03-22-2019 15:54:22.744,4689,SENT,415444420D
03-22-2019 15:54:22.769,4690,RECV,35360D
03-22-2019 15:54:24.244,4691,SENT,2B2B2B
03-22-2019 15:54:24.278,4692,RECV,4F4B0D
03-22-2019 15:54:25.746,4693,SENT,415444420D
03-22-2019 15:54:25.789,4694,RECV,35360D
03-22-2019 15:54:27.246,4695,SENT,2B2B2B
03-22-2019 15:54:27.297,4696,RECV,4F4B0D
03-22-2019 15:54:28.747,4697,SENT,415444420D
03-22-2019 15:54:28.802,4698,RECV,35360D
03-22-2019 15:54:30.248,4699,SENT,2B2B2B
03-22-2019 15:54:30.263,4700,RECV,4F4B0D
03-22-2019 15:54:31.749,4701,SENT,415444420D
03-22-2019 15:54:31.771,4702,RECV,35360D
03-22-2019 15:54:33.249,4703,SENT,2B2B2B
03-22-2019 15:54:33.279,4704,RECV,4F4B0D
03-22-2019 15:54:34.751,4705,SENT,415444420D
03-22-2019 15:54:34.787,4706,RECV,35360D
03-22-2019 15:54:36.252,4707,SENT,2B2B2B
03-22-2019 15:54:36.298,4708,RECV,4F4B0D
03-22-2019 15:54:37.753,4709,SENT,415444420D
03-22-2019 15:54:37.804,4710,RECV,35360D
03-22-2019 15:54:39.253,4711,SENT,2B2B2B
03-22-2019 15:54:39.263,4712,RECV,4F4B0D
03-22-2019 15:54:40.754,4713,SENT,415444420D
03-22-2019 15:54:40.770,4714,RECV,35360D
03-22-2019 15:54:42.254,4715,SENT,2B2B2B
03-22-2019 15:54:42.278,4716,RECV,4F4B0D
03-22-2019 15:54:43.756,4717,SENT,415444420D
03-22-2019 15:54:43.787,4718,RECV,35360D
03-22-2019 15:54:45.256,4719,SENT,2B2B2B
03-22-2019 15:54:45.295,4720,RECV,4F4B0D
03-22-2019 15:54:46.758,4721,SENT,415444420D
03-22-2019 15:54:46.802,4722,RECV,35360D
03-22-2019 15:54:48.257,4723,SENT,2B2B2B
03-22-2019 15:54:48.264,4724,RECV,4F4B0D
03-22-2019 15:54:49.758,4725,SENT,415444420D
03-22-2019 15:54:49.772,4726,RECV,35360D
03-22-2019 15:54:51.260,4727,SENT,2B2B2B
03-22-2019 15:54:51.279,4728,RECV,4F4B0D
03-22-2019 15:54:52.761,4729,SENT,415444420D
03-22-2019 15:54:52.790,4730,RECV,35360D
03-22-2019 15:54:54.263,4731,SENT,2B2B2B
03-22-2019 15:54:54.296,4732,RECV,4F4B0D
03-22-2019 15:54:55.764,4733,SENT,415444420D
03-22-2019 15:54:55.805,4734,RECV,35360D
03-22-2019 15:54:57.264,4735,SENT,2B2B2B
03-22-2019 15:54:57.315,4736,RECV,4F4B0D
03-22-2019 15:54:58.765,4737,SENT,415444420D
03-22-2019 15:54:58.772,4738,RECV,3536
03-22-2019 15:54:58.822,4739,RECV,0D
03-22-2019 15:55:00.265,4740,SENT,2B2B2B
03-22-2019 15:55:00.280,4741,RECV,4F4B0D
03-22-2019 15:55:01.766,4742,SENT,415444420D
03-22-2019 15:55:01.789,4743,RECV,35360D
03-22-2019 15:55:03.267,4744,SENT,2B2B2B
03-22-2019 15:55:03.297,4745,RECV,4F4B0D
03-22-2019 15:55:04.768,4746,SENT,415444420D
03-22-2019 15:55:04.803,4747,RECV,35360D
03-22-2019 15:55:06.269,4748,SENT,2B2B2B
03-22-2019 15:55:06.312,4749,RECV,4F4B0D
03-22-2019 15:55:07.770,4750,SENT,415444420D
03-22-2019 15:55:07.820,4751,RECV,35360D
03-22-2019 15:55:09.270,4752,SENT,2B2B2B
03-22-2019 15:55:09.277,4753,RECV,4F4B
03-22-2019 15:55:09.328,4754,RECV,0D
03-22-2019 15:55:10.772,4755,SENT,415444420D
03-22-2019 15:55:10.787,4756,RECV,35360D
03-22-2019 15:55:12.273,4757,SENT,2B2B2B
03-22-2019 15:55:12.295,4758,RECV,4F4B0D
03-22-2019 15:55:13.774,4759,SENT,415444420D
03-22-2019 15:55:13.801,4760,RECV,35360D
03-22-2019 15:55:15.275,4761,SENT,2B2B2B
03-22-2019 15:55:15.310,4762,RECV,4F4B0D
03-22-2019 15:55:16.777,4763,SENT,415444420D
03-22-2019 15:55:16.814,4764,RECV,35360D
03-22-2019 15:55:18.276,4765,SENT,2B2B2B
03-22-2019 15:55:18.326,4766,RECV,4F4B0D
03-22-2019 15:55:19.777,4767,SENT,415444420D
03-22-2019 15:55:19.833,4768,RECV,35360D
03-22-2019 15:55:21.278,4769,SENT,2B2B2B
03-22-2019 15:55:21.295,4770,RECV,4F4B0D
03-22-2019 15:55:22.780,4771,SENT,415444420D
03-22-2019 15:55:22.802,4772,RECV,35360D
03-22-2019 15:55:24.281,4773,SENT,2B2B2B
03-22-2019 15:55:24.312,4774,RECV,4F4B0D
03-22-2019 15:55:25.782,4775,SENT,415444420D
03-22-2019 15:55:25.820,4776,RECV,35360D
03-22-2019 15:55:27.282,4777,SENT,2B2B2B
03-22-2019 15:55:27.328,4778,RECV,4F4B0D
03-22-2019 15:55:28.784,4779,SENT,415444420D
03-22-2019 15:55:28.837,4780,RECV,35360D
03-22-2019 15:55:30.285,4781,SENT,2B2B2B
03-22-2019 15:55:30.297,4782,RECV,4F4B0D
03-22-2019 15:55:31.786,4783,SENT,415444420D
03-22-2019 15:55:31.805,4784,RECV,35360D
03-22-2019 15:55:33.287,4785,SENT,2B2B2B
03-22-2019 15:55:33.314,4786,RECV,4F4B0D
03-22-2019 15:55:34.788,4787,SENT,415444420D
03-22-2019 15:55:34.825,4788,RECV,35360D
03-22-2019 15:55:36.288,4789,SENT,2B2B2B
03-22-2019 15:55:36.333,4790,RECV,4F4B0D
03-22-2019 15:55:37.790,4791,SENT,415444420D
03-22-2019 15:55:37.841,4792,RECV,35360D
03-22-2019 15:55:39.290,4793,SENT,2B2B2B
03-22-2019 15:55:39.299,4794,RECV,4F4B0D
03-22-2019 15:55:40.792,4795,SENT,415444420D
03-22-2019 15:55:40.807,4796,RECV,35360D
03-22-2019 15:55:42.293,4797,SENT,2B2B2B
03-22-2019 15:55:42.314,4798,RECV,4F4B0D
03-22-2019 15:55:43.794,4799,SENT,415444420D
03-22-2019 15:55:43.821,4800,RECV,35360D
03-22-2019 15:55:45.295,4801,SENT,2B2B2B
03-22-2019 15:55:45.331,4802,RECV,4F4B0D
03-22-2019 15:55:46.797,4803,SENT,415444420D
03-22-2019 15:55:46.836,4804,RECV,35360D
03-22-2019 15:55:48.297,4805,SENT,2B2B2B
03-22-2019 15:55:48.345,4806,RECV,4F4B0D
03-22-2019 15:55:49.798,4807,SENT,415444420D
03-22-2019 15:55:49.854,4808,RECV,35360D
03-22-2019 15:55:51.299,4809,SENT,2B2B2B
03-22-2019 15:55:51.310,4810,RECV,4F4B0D
03-22-2019 15:55:52.800,4811,SENT,415444420D
03-22-2019 15:55:52.816,4812,RECV,35360D
03-22-2019 15:55:54.300,4813,SENT,2B2B2B
03-22-2019 15:55:54.324,4814,RECV,4F4B0D
03-22-2019 15:55:55.801,4815,SENT,415444420D
03-22-2019 15:55:55.832,4816,RECV,35360D
03-22-2019 15:55:57.301,4817,SENT,2B2B2B
03-22-2019 15:55:57.343,4818,RECV,4F4B0D
03-22-2019 15:55:58.802,4819,SENT,415444420D
03-22-2019 15:55:58.850,4820,RECV,35360D
03-22-2019 15:56:00.302,4821,SENT,2B2B2B
03-22-2019 15:56:00.310,4822,RECV,4F4B0D
03-22-2019 15:56:01.804,4823,SENT,415444420D
03-22-2019 15:56:01.818,4824,RECV,35360D
03-22-2019 15:56:03.303,4825,SENT,2B2B2B
03-22-2019 15:56:03.326,4826,RECV,4F4B0D
03-22-2019 15:56:04.805,4827,SENT,415444420D
03-22-2019 15:56:04.832,4828,RECV,35360D
03-22-2019 15:56:06.305,4829,SENT,2B2B2B
03-22-2019 15:56:06.341,4830,RECV,4F4B0D
03-22-2019 15:56:07.806,4831,SENT,415444420D
03-22-2019 15:56:07.849,4832,RECV,35360D
03-22-2019 15:56:09.306,4833,SENT,2B2B2B
03-22-2019 15:56:09.356,4834,RECV,4F4B0D
03-22-2019 15:56:10.808,4835,SENT,415444420D
03-22-2019 15:56:10.864,4836,RECV,35360D
03-22-2019 15:56:12.307,4837,SENT,2B2B2B
03-22-2019 15:56:12.324,4838,RECV,4F4B0D
03-22-2019 15:56:13.808,4839,SENT,415444420D
03-22-2019 15:56:13.832,4840,RECV,35360D
03-22-2019 15:56:15.309,4841,SENT,2B2B2B
03-22-2019 15:56:15.343,4842,RECV,4F4B0D
03-22-2019 15:56:16.810,4843,SENT,415444420D
03-22-2019 15:56:16.848,4844,RECV,35360D
03-22-2019 15:56:18.310,4845,SENT,2B2B2B
03-22-2019 15:56:18.357,4846,RECV,4F4B0D
03-22-2019 15:56:19.812,4847,SENT,415444420D
03-22-2019 15:56:19.867,4848,RECV,35360D
03-22-2019 15:56:21.311,4849,SENT,2B2B2B
03-22-2019 15:56:21.322,4850,RECV,4F4B0D
03-22-2019 15:56:22.813,4851,SENT,415444420D
03-22-2019 15:56:22.830,4852,RECV,35360D
03-22-2019 15:56:24.314,4853,SENT,2B2B2B
03-22-2019 15:56:24.339,4854,RECV,4F4B0D
03-22-2019 15:56:25.815,4855,SENT,415444420D
03-22-2019 15:56:25.848,4856,RECV,35360D
03-22-2019 15:56:27.316,4857,SENT,2B2B2B
03-22-2019 15:56:27.357,4858,RECV,4F4B0D
03-22-2019 15:56:28.818,4859,SENT,415444420D
03-22-2019 15:56:28.866,4860,RECV,35360D
03-22-2019 15:56:30.318,4861,SENT,2B2B2B
03-22-2019 15:56:30.324,4862,RECV,4F
03-22-2019 15:56:30.374,4863,RECV,4B0D
03-22-2019 15:56:31.819,4864,SENT,415444420D
03-22-2019 15:56:31.831,4865,RECV,35360D
03-22-2019 15:56:33.319,4866,SENT,2B2B2B
03-22-2019 15:56:33.338,4867,RECV,4F4B0D
03-22-2019 15:56:34.821,4868,SENT,415444420D
03-22-2019 15:56:34.847,4869,RECV,35360D
03-22-2019 15:56:36.321,4870,SENT,2B2B2B
03-22-2019 15:56:36.354,4871,RECV,4F4B0D
03-22-2019 15:56:37.822,4872,SENT,415444420D
